accuracy,accuracy_drop,balanced_accuracy,balanced_accuracy_drop,checkpoint_sha256,cost_saving_fraction,data_scope,dataset,delayed_exit_count,early_fraction,exit8_accuracy,exit_disagreement_count,expected_cost_fraction,macro_f1,premature_count,reference_accuracy,reference_balanced_accuracy,rescue_count,risk_budget_scope,risk_feasible,samples,saving_floor_pass,seed,threshold,variant,worst_class_accuracy_drop
0.8688,0.0,0.8688,0.0,e17fd4b62991d257f250111b6db51f9f1e3c73e6feab15d9fa8dc7015afdeeab,0.32844121334977333,all 10000 official test images,cifar10,2929,0.5835,0.8685,603,0.6715587866502266,0.8689918827888828,0,0.8688,0.8688,0,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,True,54,0.984,A3,0.0
0.8726,0.0,0.8726,0.0,aa5f7dc2cd5e9252a3456356e38b8932d1e08fac7a09226f1a2d98d1029de800,0.3324389417149068,all 10000 official test images,cifar10,2869,0.5906,0.8694,619,0.6675610582850933,0.8728502199116888,0,0.8726,0.8726,0,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,True,55,0.984,A3,0.0
0.8711,-9.999999999998899e-05,0.8711,-0.00010000000000000009,8b69b66c38ff413673dcd4f279a65aaef64db3ee4bbf49f5d44ee1f532c6eac5,0.327427704750162,all 10000 official test images,cifar10,2951,0.5817,0.8685,520,0.6725722952498381,0.8705555167586407,0,0.871,0.8709999999999999,1,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,True,56,0.984,A3,0.0
0.5734,-0.0036000000000000476,0.5733999999999999,-0.0036000000000000003,969618e2d452bdad778cf5976dcc1c926ab35c479c3d54bf459f030d96ceef20,0.1518078972739022,all 10000 official test images,cifar100,3207,0.2676,0.5709,3433,0.8481921027260978,0.571483636821256,15,0.5698,0.5698000000000001,51,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,True,66,0.903,A3,0.020000000000000018
0.5796,-0.005600000000000049,0.5796000000000001,-0.005599999999999999,b151a43a9ef8fc53181ac2ef989ea485201f0be4d2e07b7080e0ce73a47671fa,0.15306437611536183,all 10000 official test images,cifar100,3199,0.2698,0.5707,3484,0.8469356238846382,0.5775358469587922,13,0.574,0.574,69,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,True,67,0.903,A3,0.020000000000000018
0.5761,-0.0015999999999999348,0.5761,-0.001600000000000001,a7dc26e32188f4a5fbebb7cc7bc4d12524bfe33f45bac0343cb8f317ef789f6b,0.14998029168632432,all 10000 official test images,cifar100,3188,0.2644,0.5653,3457,0.8500197083136757,0.5734471889114907,18,0.5745,0.5745,34,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,False,68,0.903,A3,0.010000000000000009
