accuracy_drop_max,accuracy_drop_mean,accuracy_drop_min,accuracy_drop_sample_sd,accuracy_max,accuracy_mean,accuracy_min,accuracy_sample_sd,all_risk_feasible,all_saving_floor_pass,balanced_accuracy_max,balanced_accuracy_mean,balanced_accuracy_min,balanced_accuracy_sample_sd,case,cost_saving_fraction_max,cost_saving_fraction_mean,cost_saving_fraction_min,cost_saving_fraction_sample_sd,early_fraction_max,early_fraction_mean,early_fraction_min,early_fraction_sample_sd,n,paired_accuracy_difference,paired_ci95_high,paired_ci95_low,paired_direction,reference_accuracy_max,reference_accuracy_mean,reference_accuracy_min,reference_accuracy_sample_sd,search_candidates_total,selected_seeds,split,strategy,target_recalibrations,threshold_parameters,worst_class_accuracy_drop_max,worst_class_accuracy_drop_mean,worst_class_accuracy_drop_min,worst_class_accuracy_drop_sample_sd
0.0,0.0,0.0,0.0,0.876,0.8745333333333333,0.8724,0.001890326250501066,True,True,0.8760000000000001,0.8745333333333335,0.8724000000000001,0.0018903262505010662,cifar10,0.37309189776598184,0.3686624898121251,0.3640829324361038,0.0045063591418648,0.6628,0.6549333333333334,0.6468,0.008003332639178042,3,,,,,0.876,0.8745333333333333,0.8724,0.001890326250501066,1002,3,source_F,S,0,1,0.0,0.0,0.0,0.0
0.0,-0.00039999999999999297,-0.0011999999999999789,0.0006928203230275387,0.8772,0.8749333333333332,0.8724,0.0024110855093366973,True,True,0.8772000000000002,0.8749333333333335,0.8724000000000001,0.0024110855093367493,cifar10,0.46993827506217223,0.43487838498672965,0.37309189776598184,0.053670647891325036,0.8348,0.7725333333333332,0.6628,0.09531953280064552,3,0.0004,0.0010666666666666665,-0.0002666666666666666,I minus S,0.876,0.8745333333333333,0.8724,0.001890326250501066,3006,3,source_F,I,0,3,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.876,0.8745333333333333,0.8724,0.001890326250501066,True,True,0.8760000000000001,0.8745333333333335,0.8724000000000001,0.0018903262505010662,cifar10,0.37309189776598184,0.3686624898121251,0.3640829324361038,0.0045063591418648,0.6628,0.6549333333333334,0.6468,0.008003332639178042,3,0.0,0.0,0.0,A minus S,0.876,0.8745333333333333,0.8724,0.001890326250501066,1002,3,source_F,A,0,1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.876,0.8745333333333333,0.8724,0.001890326250501066,False,True,0.8760000000000001,0.8745333333333335,0.8724000000000001,0.0018903262505010662,cifar10,0.48795620572192855,0.48577903910054127,0.4845778437232242,0.0018888415366333222,0.8668,0.8629333333333333,0.8608,0.0033545988334424477,3,-2.2204460492503132e-20,0.0016,-0.0015999999999999999,C minus S,0.876,0.8745333333333333,0.8724,0.001890326250501066,1002,3,source_F,C,0,1,0.01200000000000001,0.008000000000000007,0.0040000000000000036,0.0040000000000000036
0.0,0.0,0.0,0.0,0.8696,0.8668,0.8632,0.0032741411087490197,True,True,0.8695999999999999,0.8668000000000001,0.8632000000000002,0.00327414110874885,cifar10,0.3719657770997472,0.36265651292553974,0.3465154500428414,0.014033349280227852,0.6608,0.6442666666666668,0.6156,0.0249233491596401,3,,,,,0.8696,0.8668,0.8632,0.0032741411087490197,1002,3,target_E,S,0,1,0.0,0.0,0.0,0.0
0.00039999999999995595,-0.0002666666666666743,-0.0011999999999999789,0.0008326663997864236,0.8708,0.8670666666666667,0.8628,0.004026578365477738,False,True,0.8708,0.8670666666666667,0.8628,0.004026578365477738,cifar10,0.5498928423648408,0.46498334413073916,0.4116052245512111,0.07434068327662655,0.9768,0.826,0.7312,0.1320296936298801,3,0.0002666666666666667,0.0024,-0.0018666666666666658,I minus S,0.8696,0.8668,0.8632,0.0032741411087490197,3006,3,target_E,I,3,3,0.02400000000000002,0.009333333333333341,0.0,0.012858201014657285
0.0,0.0,0.0,0.0,0.8696,0.8668,0.8632,0.0032741411087490197,True,True,0.8695999999999999,0.8668000000000001,0.8632000000000002,0.00327414110874885,cifar10,0.3719657770997472,0.36265651292553974,0.3465154500428414,0.014033349280227852,0.6608,0.6442666666666668,0.6156,0.0249233491596401,3,0.0,0.0,0.0,A minus S,0.8696,0.8668,0.8632,0.0032741411087490197,1002,3,target_E,A,0,1,0.0,0.0,0.0,0.0
0.0015999999999999348,-0.0002666666666666743,-0.0020000000000000018,0.0018036999011291231,0.87,0.8670666666666667,0.8616,0.00473849483837782,False,True,0.8700000000000001,0.8670666666666668,0.8616000000000001,0.00473849483837782,cifar10,0.49201024012037364,0.48698023447785826,0.48007336105828513,0.006185809965166282,0.874,0.8650666666666668,0.8528,0.010986051762727734,3,0.0002666666666666666,0.0019999999999999996,-0.0013333333333333333,C minus S,0.8696,0.8668,0.8632,0.0032741411087490197,1002,3,target_E,C,0,1,0.008000000000000007,0.006666666666666672,0.0040000000000000036,0.0023094010767585054
-0.00039999999999995595,-0.0005333333333333116,-0.0008000000000000229,0.00023094010767588897,0.5668,0.5617333333333333,0.5588,0.00440605643782888,True,False,0.5668,0.5617333333333333,0.5588000000000001,0.004406056437828817,cifar100_strict,0.09903578593259632,0.09606592685278255,0.09218226497918003,0.003516953798983027,0.1752,0.17,0.1632,0.006157921727336252,3,,,,,0.566,0.5612,0.5584,0.00417612260356418,1002,3,source_F,S,0,1,0.0,0.0,0.0,0.0
-0.00039999999999995595,-0.0014666666666666532,-0.0020000000000000018,0.0009237604307034277,0.568,0.5626666666666668,0.5596,0.004636090306856962,True,False,0.568,0.5626666666666668,0.5596000000000001,0.004636090306856926,cifar100_strict,0.13033353161986427,0.11685494041147881,0.09903578593259632,0.016094023375312832,0.23,0.2064,0.1752,0.028179425118337677,3,0.0009333333333333332,0.0016,0.0002666666666666666,I minus S,0.566,0.5612,0.5584,0.00417612260356418,3006,3,source_F,I,0,3,0.0,0.0,0.0,0.0
-0.00039999999999995595,-0.0005333333333333116,-0.0008000000000000229,0.00023094010767588897,0.5668,0.5617333333333333,0.5588,0.00440605643782888,True,False,0.5668,0.5617333333333333,0.5588000000000001,0.004406056437828817,cifar100_strict,0.09903578593259632,0.09606592685278255,0.09218226497918003,0.003516953798983027,0.1752,0.17,0.1632,0.006157921727336252,3,0.0,0.0,0.0,A minus S,0.566,0.5612,0.5584,0.00417612260356418,1002,3,source_F,A,0,1,0.0,0.0,0.0,0.0
-0.0031999999999999806,-0.005333333333333338,-0.00759999999999994,0.0022030282189144166,0.5712,0.5665333333333333,0.5616,0.0048055523442507185,False,True,0.5711999999999999,0.5665333333333332,0.5616,0.004805552344250661,cifar100_strict,0.570101126130746,0.570101126130746,0.570101126130746,0.0,1.0,1.0,1.0,0.0,3,0.0048,0.014803333333333321,-0.005066666666666667,C minus S,0.566,0.5612,0.5584,0.00417612260356418,1002,3,source_F,C,0,1,0.24,0.18666666666666668,0.16000000000000003,0.046188021535170036
0.0,0.0,0.0,0.0,0.5752,0.5669333333333334,0.5628,0.0071591433379514045,False,False,0.5752,0.5669333333333334,0.5628,0.0071591433379514045,cifar100_strict,0.09789353244036036,0.09697972964657149,0.09515212405899376,0.001582752866940706,0.1732,0.17159999999999997,0.1684,0.002771281292110203,3,,,,,0.5752,0.5669333333333334,0.5628,0.0071591433379514045,1002,3,target_E,S,0,1,0.040000000000000036,0.013333333333333345,0.0,0.023094010767585053
