accuracy,accuracy_drop,actual_dynamic_latency_mean_ms,actual_dynamic_latency_p95_ms,actual_dynamic_throughput_samples_per_second,balanced_accuracy,balanced_accuracy_drop,checkpoint_sha256,cost_saving_fraction,data_scope,dataset,delayed_exit_count,early_fraction,exit8_accuracy,exit_disagreement_count,expected_cost_fraction,final_only_latency_mean_ms,final_only_latency_p95_ms,final_only_throughput_samples_per_second,macro_f1,p95_scope,premature_count,reference_accuracy,reference_balanced_accuracy,rescue_count,risk_budget_scope,risk_feasible,samples,saving_floor_pass,seed,seed_latency_saving_fraction,threshold,timed_subset_early_fraction,timed_subset_mac_saving_fraction,timing_scope,variant,worst_class_accuracy_drop
0.8688,0.0,3.6424035856000003,5.419636129999999,274.5657794589056,0.8688,0.0,e17fd4b62991d257f250111b6db51f9f1e3c73e6feab15d9fa8dc7015afdeeab,0.32844121334977333,all 10000 official test images,cifar10,2929,0.5835,0.8685,603,0.6715587866502266,4.427531075000001,4.67301243,225.86242228839342,0.8689918827888828,"mean of five per-round p95 values, not pooled population p95",0,0.8688,0.8688,0,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,True,54,0.17734032116893994,0.984,0.598,0.3366055881799753,1000 unique official images; 5 repetitions per mode; resident singleton FP32,A3,0.0
0.8726,0.0,3.7482648632,5.47004372,266.85848048168907,0.8726,0.0,aa5f7dc2cd5e9252a3456356e38b8932d1e08fac7a09226f1a2d98d1029de800,0.3324389417149068,all 10000 official test images,cifar10,2869,0.5906,0.8694,619,0.6675610582850933,4.556403249600001,4.874886049999999,219.49676738399177,0.8728502199116888,"mean of five per-round p95 values, not pooled population p95",0,0.8726,0.8726,0,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,True,55,0.17734170552052386,0.984,0.587,0.3304119245156841,1000 unique official images; 5 repetitions per mode; resident singleton FP32,A3,0.0
0.8711,-9.999999999998899e-05,4.125184020000001,6.12077483,244.95144591417812,0.8711,-0.00010000000000000009,8b69b66c38ff413673dcd4f279a65aaef64db3ee4bbf49f5d44ee1f532c6eac5,0.327427704750162,all 10000 official test images,cifar10,2951,0.5817,0.8685,520,0.6725722952498381,5.2870981782,5.902171839999999,191.1606070671899,0.8705555167586407,"mean of five per-round p95 values, not pooled population p95",0,0.871,0.8709999999999999,1,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,True,56,0.21832284684912978,0.984,0.604,0.33998395017867966,1000 unique official images; 5 repetitions per mode; resident singleton FP32,A3,0.0
0.5734,-0.0036000000000000476,4.591001659,5.5925877900000005,217.88044809724306,0.5733999999999999,-0.0036000000000000003,969618e2d452bdad778cf5976dcc1c926ab35c479c3d54bf459f030d96ceef20,0.1518078972739022,all 10000 official test images,cifar100,3207,0.2676,0.5709,3433,0.8481921027260978,4.5955415226,4.973287149999999,217.65864959387764,0.571483636821256,"mean of five per-round p95 values, not pooled population p95",15,0.5698,0.5698000000000001,51,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,True,66,0.0009195549279658932,0.903,0.265,0.15032296773399523,1000 unique official images; 5 repetitions per mode; resident singleton FP32,A3,0.020000000000000018
0.5796,-0.005600000000000049,4.734385104199999,5.75749475,211.25701540083568,0.5796000000000001,-0.005599999999999999,b151a43a9ef8fc53181ac2ef989ea485201f0be4d2e07b7080e0ce73a47671fa,0.15306437611536183,all 10000 official test images,cifar100,3199,0.2698,0.5707,3484,0.8469356238846382,4.6495073366,4.960005869999999,215.11305335741204,0.5775358469587922,"mean of five per-round p95 values, not pooled population p95",13,0.574,0.574,69,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,True,67,-0.01829182668228486,0.903,0.259,0.14689620725728714,1000 unique official images; 5 repetitions per mode; resident singleton FP32,A3,0.020000000000000018
0.5761,-0.0015999999999999348,4.8018491816,5.90250411,208.26784400701922,0.5761,-0.001600000000000001,a7dc26e32188f4a5fbebb7cc7bc4d12524bfe33f45bac0343cb8f317ef789f6b,0.14998029168632432,all 10000 official test images,cifar100,3188,0.2644,0.5653,3457,0.8500197083136757,4.673313814,5.0218554399999995,213.99352794418513,0.5734471889114907,"mean of five per-round p95 values, not pooled population p95",18,0.5745,0.5745,34,historical CIFAR empirical budget; supplementary observed outcomes,True,10000,False,68,-0.027509673535493738,0.903,0.257,0.14575395376505107,1000 unique official images; 5 repetitions per mode; resident singleton FP32,A3,0.010000000000000009
