dataset,method,accuracy_mean_pct,accuracy_std_pct,gain_vs_baseline_pp,gain_vs_final_pp,early_fraction_mean_pct,early_fraction_std_pct,mac_saving_mean_pct,mac_saving_std_pct,worst_class_drop_mean_pp,worst_class_drop_std_pp,params_m
CIFAR-10,Matched MobileNetV2,86.83333333333333,0.2715388247255487,,,,,,,,,2.236682
CIFAR-10,Multi-exit final head,87.02666666666666,0.1767295485574872,0.19333333333333053,,,,,,,,2.238942
CIFAR-10,Locked shared policy,87.03666666666666,0.17616280348965066,0.20333333333332945,0.009999999999998899,64.85333333333332,0.30088757590391413,36.50956287921534,0.1693864186683598,0.0,0.0,2.238942
CIFAR-100,Matched MobileNetV2,55.93333333333334,0.14189197769195308,,,,,,,,,2.351972
CIFAR-100,Multi-exit final head,57.513333333333335,0.18147543451754627,1.5800000000000036,,,,,,,,2.374572
CIFAR-100,Locked shared policy,58.09666666666667,0.030550504633041625,2.1633333333333353,0.5833333333333319,42.39333333333333,0.30435724623102706,24.16848707376943,0.17351440882235666,3.0000000000000027,1.0000000000000009,2.374572
