evaluation,seeds,threshold_source,recalibration,policy_accuracy_mean_pct,policy_accuracy_std_pct,early_fraction_mean_pct,early_fraction_std_pct,mac_saving_mean_pct,mac_saving_std_pct,max_overall_drop_pp,max_balanced_drop_pp,max_worst_class_drop_pp
Unseen retraining (CIFAR-10),57--59,P1 seeds 54--56,No,87.02,0.034641016151380134,64.70666666666666,2.48389479111603,36.426996022375,1.3983230838035547,0.0,0.0,0.0
CIFAR-10.1 source models,54--56,P1 seeds 54--56,No,76.91666666666667,0.4481443219916241,49.38333333333333,0.23629078131263062,27.80063600203408,0.1330212757727049,0.0,0.0,0.0
CIFAR-10.1 unseen models,57--59,P1 seeds 54--56,No,76.46666666666665,0.8808140174482566,48.63333333333333,2.97713508819021,27.378419120464205,1.675995590597228,0.0,0.0,0.0
CIFAR-10.1 all models,54--59,P1 seeds 54--56,No,76.69166666666666,0.6718754844959508,49.00833333333334,1.9329812897870131,27.589527561249138,1.0881831097423802,0.0,0.0,0.0
