actual_saving_percent_ci95_high,actual_saving_percent_ci95_low,actual_saving_percent_mean,actual_saving_percent_sample_sd,batch_size,dataset,device,dynamic_latency_ms_ci95_high,dynamic_latency_ms_ci95_low,dynamic_latency_ms_mean,dynamic_latency_ms_sample_sd,early_fraction_percent_ci95_high,early_fraction_percent_ci95_low,early_fraction_percent_mean,early_fraction_percent_sample_sd,exit8_latency_ms_ci95_high,exit8_latency_ms_ci95_low,exit8_latency_ms_mean,exit8_latency_ms_sample_sd,final_latency_ms_ci95_high,final_latency_ms_ci95_low,final_latency_ms_mean,final_latency_ms_sample_sd,forced_fallback_latency_ms_ci95_high,forced_fallback_latency_ms_ci95_low,forced_fallback_latency_ms_mean,forced_fallback_latency_ms_sample_sd,forced_fallback_overhead_percent_ci95_high,forced_fallback_overhead_percent_ci95_low,forced_fallback_overhead_percent_mean,forced_fallback_overhead_percent_sample_sd,isolated_expected_saving_percent_ci95_high,isolated_expected_saving_percent_ci95_low,isolated_expected_saving_percent_mean,isolated_expected_saving_percent_sample_sd,mac_saving_percent_ci95_high,mac_saving_percent_ci95_low,mac_saving_percent_mean,mac_saving_percent_sample_sd,positive_speedup_seeds,rounds_per_seed,seeds
30.378310804142956,25.44964937947089,27.913980091806923,0.9920266097607758,1,cifar10,cpu,6.510354531685156,6.396587742048178,6.453471136866667,0.022898647909142762,60.47040061624914,55.422932717084194,57.946666666666665,1.0159396307524027,4.3219310678150356,4.216360533918299,4.269145800866667,0.02124892943710014,9.331670720077271,8.590854799656062,8.961262759866667,0.14910926977321431,9.455758632712007,9.165341273954661,9.310549953333334,0.05845435971347885,6.922700898217721,1.0370798660253668,3.979890382121544,1.1846406510447174,32.411479209422374,24.8813761927631,28.646427701092737,1.5156371929652126,34.03803481230487,31.196005855601758,32.61702033395331,0.5720353069185986,3,5,3
11.410986647199518,3.4222530477934034,7.41661984749646,1.6079490202409572,4,cifar10,cpu,15.019828945811312,14.041100679788688,14.5304648128,0.19699557343484353,59.66939110545768,57.177275561209,58.42333333333334,0.5016057548845795,7.736856598899085,7.5787237209675835,7.6577901599333345,0.0318285248811831,15.959409487812236,15.431399470187761,15.695404478999999,0.10627631776077757,16.567330414000956,16.00625057173238,16.28679049286667,0.11293251570183446,6.282797874190135,1.2726154633518583,3.7777066687709966,1.0084349163094861,,,,,33.587018130328445,32.18380672181675,32.8854124260726,0.2824343034389142,3,5,3
6.673424575069844,-0.02997340134804105,3.3217255868609015,1.3492404114298728,8,cifar10,cpu,17.19383520006724,16.562402689266094,16.878118944666667,0.12709289582099365,59.77694672850893,57.21471993815773,58.49583333333333,0.5157175422005084,8.547859517385353,8.407329617414645,8.477594567399999,0.0282854487711619,18.164997410043462,16.757578115556534,17.461287762799998,0.28328125446650426,18.796996883820146,17.501281571379852,18.1491392276,0.2607978024582594,12.009162522422338,-4.02248157529541,3.9933404735634634,3.226802608825676,,,,,33.647578435272315,32.204890165174895,32.926234300223605,0.29038009110589363,3,5,3
12.144941890933154,7.717152431555193,9.931047161244173,0.8912125600945445,16,cifar10,cpu,19.42004137729353,17.612027206439798,18.516034291866664,0.3639118238743298,59.850897515514724,57.051602484485294,58.45125000000001,0.563433946882865,10.02552070127448,8.719956979525517,9.372738840399998,0.2627800615862878,21.52518523092722,19.593153203472774,20.559169217199997,0.38887377667099526,21.82086862290254,20.308656003230784,21.064762313066662,0.30437374959880686,5.241930648286537,-0.28988699670363793,2.4760218257914497,1.1134281362286058,,,,,33.689217190038086,32.113045197372834,32.90113119370546,0.31724730582150595,3,5,3
7.495107624560642,2.2947976800652423,4.894952652312942,1.046703232264787,32,cifar10,cpu,22.286313728459636,22.13713758260703,22.211725655533332,0.030025739947675132,59.794311583261894,57.15860508340477,58.47645833333333,0.5305073240147905,11.171708689980743,10.899570029885925,11.035639359933334,0.05477527650961841,24.017393212142483,22.70194149065752,23.359667351400002,0.2647702893601643,24.491722226028422,23.43910792770491,23.965415076866666,0.21186713871729781,7.646237797690915,-2.413356850766825,2.616440473462045,2.0247658978403384,,,,,33.657355896174074,32.17329411636485,32.91532500626946,0.2987076305809835,3,5,3
12.184356638551108,7.6511991026833215,9.917777870617215,0.9124207394947297,1,cifar100,cpu,8.154819869138196,7.885989454861806,8.020404662,0.054109402431297096,27.64593033368234,24.754069666317665,26.200000000000003,0.582065288434211,4.3744176897635025,4.15215851196983,4.263288100866666,0.04473567965759466,9.148873480730071,8.661706451803262,8.905289966266666,0.09805556000951099,9.409695591317499,9.2640570886825,9.33687634,0.029313693429295854,7.82437884277744,1.946377623191959,4.885378232984699,1.1831069573668416,12.088300685883812,8.007101459703016,10.047701072793414,0.8214518878979037,15.686768236153464,14.03514926297475,14.860958749564107,0.33243305421168584,3,5,3
-0.4544365045853791,-8.982406347781897,-4.718421426183638,1.7164849200919239,4,cifar100,cpu,16.56620102726805,16.306206309665285,16.436203668466668,0.052330979151473146,27.217662176133516,26.06233782386648,26.639999999999997,0.23254031908466707,8.320845841494675,7.120675602771992,7.720760722133334,0.24156676843247818,16.31564463259869,15.085134964734646,15.700389798666668,0.24767340032293786,16.50150045474126,16.445033887925405,16.473267171333333,0.011365426028811128,9.04169201247635,0.8652543895144893,4.953473200995419,1.6457295391450026,,,,,15.442172836866638,14.782336198845448,15.112254517856043,0.132809995780074,0,5,3
1.8881106199224853,-4.5165514079681515,-1.314220394022833,1.2891117102073346,8,cifar100,cpu,17.937751722391802,17.31373650934153,17.625744115866667,0.12559996374321786,27.292071731153705,26.046261602179626,26.669166666666666,0.2507530325506217,8.776706344670085,8.22182042626325,8.499263385466667,0.11168582075563284,18.25363019932697,16.552395825339694,17.403013012333332,0.34241949751039796,18.517092779245807,17.693144312354192,18.1051185458,0.1658419464839704,6.920351799581619,1.2239196081654309,4.072135703873525,1.146561272457206,,,,,15.484670123905401,14.773154638663572,15.128912381284486,0.14321176355986165,1,5,3
5.01126577995054,-2.7237119758127513,1.143776902068894,1.5568737834604707,16,cifar100,cpu,20.28873803626806,20.091267635731942,20.190002836,0.03974626680407098,27.171816403051455,26.030683596948553,26.601250000000004,0.2296838860259875,9.727122351064514,8.899817175602154,9.313469763333334,0.16651757500386172,21.239799658221227,19.618422555512108,20.429111106866667,0.32634605864639915,21.43014980285292,20.751317675680408,21.090733739266664,0.13663335248483796,5.938917402312662,0.5738686374745718,3.256393019893617,1.0798613819852099,,,,,15.415989089663027,14.764257623224912,15.09012335644397,0.13117861046177268,3,5,3
1.271292026913138,-4.639372925255047,-1.6840404491709544,1.1896814182811069,32,cifar100,cpu,23.79825209377152,22.762371516495147,23.280311805133334,0.20849902410589927,27.221259049056403,26.054990950943594,26.638125,0.23474304435914448,10.965647465257666,10.650554677809003,10.808101071533335,0.0634209580978811,23.12797673376733,22.667340619966,22.897658676866666,0.09271549472240673,23.96863408478447,23.694592786548867,23.831613435666668,0.05515823397043185,5.546205919882885,2.639207497768375,4.09270670882563,0.5851121715998298,,,,,15.444227107195285,14.778140203218861,15.111183655207073,0.13406803109867702,0,5,3
