actual_saving_percent,batch_size,dataset,device,dynamic_latency_ms,early_fraction_percent,exit8_latency_ms,final_latency_ms,forced_fallback_latency_ms,forced_fallback_overhead_percent,isolated_expected_saving_percent,mac_saving_percent,rounds,seed
29.054710907458134,1,cifar10,cpu,6.4641952194,59.019999999999996,4.245431364,9.132340958799999,9.3668030716,2.7762480894682873,30.392721265442844,33.22137175816597,5,54
27.433984475069103,1,cifar10,cpu,6.427178409600001,57.82000000000001,4.286456102400001,8.8589081402,9.3147282264,5.144567989377565,27.67327996376465,32.545699358425104,5,55
27.25324489289353,1,cifar10,cpu,6.4690397816,57.0,4.2755499362,8.8925391806,9.250118562,4.0188550675187775,27.87328187407072,32.08398988526886,5,56
8.709293241506598,4,cifar10,cpu,14.3235634946,58.739999999999995,7.621211746600001,15.690256368599998,16.156480058,2.9753097820205543,,33.06371486489311,5,54
7.924513055669552,4,cifar10,cpu,14.5520549848,58.685,7.672985864599999,15.804161293800002,16.347685895,3.4481107446720167,,33.03274654657165,5,55
5.61605324531323,4,cifar10,cpu,14.715775959000002,57.845000000000006,7.6791728686,15.591795774599998,16.3562055256,4.90969947962042,,32.55977586675304,5,56
1.98276212864253,8,cifar10,cpu,16.795370625400004,58.6725,8.4764687062,17.1349106132,18.4467249622,7.699712331932086,,33.025708292407685,5,54
4.681013325658592,8,cifar10,cpu,16.8145305352,58.9,8.506426136799998,17.643363801599996,17.960377101,1.8094570815161504,,33.15380451819188,5,55
3.3014013062815812,8,cifar10,cpu,17.024455673400002,57.915,8.449888859200001,17.6055888736,18.0403156196,2.4708520072421525,,32.59919009007127,5,56
10.171822982239487,16,cifar10,cpu,18.098152466,58.847500000000004,9.073111340199999,20.1476150186,20.720441629,2.8453047342333937,,33.12424385070322,5,54
8.944183584447515,16,cifar10,cpu,18.763223083999996,58.7,9.481069080400001,20.609414421399997,21.297962226999996,3.3578909503717385,,33.04119245156841,5,55
10.677134917045516,16,cifar10,cpu,18.686727325599996,57.80625,9.564036100600001,20.9204782116,21.1758830832,1.2248697927692165,,32.53795727884475,5,56
4.1847126643576775,32,cifar10,cpu,22.2401522094,58.821875,11.0959377722,23.2114335706,24.1367393768,3.9848655366450636,,33.109815429667094,5,54
4.403162364108611,32,cifar10,cpu,22.180322459,58.74187500000001,11.022025178000002,23.2022170468,24.030993373399998,3.5739455107284086,,33.0647706030177,5,55
6.096982928472537,32,cifar10,cpu,22.214702298200002,57.865625,10.9889551296,23.6653514368,23.7285124804,0.29051037301266236,,32.57138898612359,5,56
9.286116286150655,1,cifar100,cpu,7.979263198800001,26.860000000000003,4.233935525600001,8.796639198600001,9.327915808,6.058358265416115,9.482148667033607,15.237902402002012,5,66
10.963858166713392,1,cifar100,cpu,8.0002523972,25.98,4.241152694999999,8.9872043128,9.3130887042,3.69239794050092,10.989943773219252,14.735310865418139,5,67
9.503359158987601,1,cifar100,cpu,8.08169839,25.76,4.314776082,8.9320263874,9.369624507800001,4.9053784930370625,9.671010778127386,14.609662981272175,5,68
-2.7480893940060946,4,cifar100,cpu,16.4210219784,26.809999999999995,7.9984681636,15.9853495238,16.4731558588,3.0700309006974225,,15.209346064696103,5,66
-5.517404083364279,4,cifar100,cpu,16.3931420842,26.734999999999996,7.559247868,15.536919950000001,16.4846878448,6.114076835826419,,15.166511558737259,5,67
-5.889770801180539,4,cifar100,cpu,16.494446942800003,26.375,7.604566134800001,15.578899922200003,16.461957810399998,5.676311866462416,,14.960905930134766,5,68
0.04287281265508147,8,cifar100,cpu,17.740260442799997,26.945,8.627235841200001,17.7485945058,18.2456494572,2.806758779082723,,15.286448175422038,5,66
-2.5224202071936297,8,cifar100,cpu,17.4914154714,26.607499999999998,8.4214565032,17.0638456272,17.922194986,5.04204617052416,,15.093692898607213,5,67
-1.4631137875299505,8,cifar100,cpu,17.645556433400003,26.455000000000002,8.449097812,17.396598903999998,18.1475111942,4.367602162013693,,15.006596069824209,5,68
2.941378451911572,16,cifar100,cpu,20.190822176999998,26.823749999999997,9.4881528288,20.8037625396,21.224119877,2.026621644540323,,15.217199057455238,5,66
0.2630724977483556,16,cifar100,cpu,20.149853232999998,26.615,9.2957161086,20.2067286086,20.951069602799997,3.6928203718886365,,15.09797634920309,5,67
0.22687975654675396,16,cifar100,cpu,20.229333098,26.365000000000002,9.1565403526,20.276842172400002,21.097011738,4.049737043251893,,14.955194662673582,5,68
-0.3383592419291981,32,cifar100,cpu,23.040781205800002,26.861874999999998,10.769577255400002,22.963630432600002,23.858483608199997,3.9073049912371522,,15.23897326465098,5,66
-2.1177190922700495,32,cifar100,cpu,23.4210690566,26.658749999999998,10.773426399999998,22.9376930602,23.7681690888,3.622756782771308,,15.12296314434576,5,67
-2.596043013313616,32,cifar100,cpu,23.379085153,26.39375,10.881299559199999,22.791652537799997,23.86818761,4.748058352468428,,14.971614556624482,5,68
18.258948781639678,1,cifar10,cuda,3.6987899376,59.019999999999996,2.1301904584000004,4.5252593778,5.244186371800001,15.893291694533833,24.722664786754084,33.22137175816597,5,54
17.472313748639568,1,cifar10,cuda,3.6758740084,57.82000000000001,2.0889122362,4.454500894000001,5.221445729200001,17.22267048802244,23.435569740028203,32.545699358425104,5,55
14.996671991162426,1,cifar10,cuda,3.850861589,57.0,2.1605060733999997,4.531605194000001,5.4093005413999995,19.39548585941433,21.45165417028559,32.08398988526886,5,56
-13.547033855645306,4,cifar10,cuda,5.1170360756,58.739999999999995,2.1893639491999997,4.505173671200001,5.3141271316,17.98924694203952,,33.06371486489311,5,54
-12.362196521507537,4,cifar10,cuda,5.1467041138,58.685,2.1380199172000003,4.5813197279999995,5.3256957558,16.26744368891226,,33.03274654657165,5,55
-9.437978848156689,4,cifar10,cuda,5.1076388226,57.845000000000006,2.1679404644,4.6887576476,5.2918412202,13.39893082225429,,32.55977586675304,5,56
-18.8937171655164,8,cifar10,cuda,5.4016718915999995,58.6725,2.1485969816,4.5433821197999995,5.309903922399999,16.871349622714042,,33.025708292407685,5,54
-19.49457513702638,8,cifar10,cuda,5.410785951399999,58.9,2.1574423942,4.528797239799999,5.308543378399999,17.234601607575925,,33.15380451819188,5,55
-16.978441531193237,8,cifar10,cuda,5.436540083200001,57.915,2.144912787,4.6522689908,5.2895935076,13.834637891362783,,32.59919009007127,5,56
