accuracy_drop_mean_percent_or_pp,accuracy_drop_sample_sd_percent_or_pp,accuracy_mean_percent_or_pp,accuracy_sample_sd_percent_or_pp,all_risk_feasible,all_saving_floor_pass,case,cost_saving_fraction_mean_percent_or_pp,cost_saving_fraction_sample_sd_percent_or_pp,early_fraction_mean_percent_or_pp,early_fraction_sample_sd_percent_or_pp,n,split,strategy,target_recalibrations,threshold_parameters,worst_class_drop_max_pp
0.0,0.0,87.45333333333333,0.1890326250501066,True,True,cifar10,36.866248981212514,0.45063591418648,65.49333333333334,0.8003332639178042,3,source_F,S,0,1,0.0
-0.0399999999999993,0.06928203230275387,87.49333333333333,0.24110855093366973,True,True,cifar10,43.487838498672964,5.367064789132503,77.25333333333332,9.531953280064553,3,source_F,I,0,3,0.0
0.0,0.0,87.45333333333333,0.1890326250501066,True,True,cifar10,36.866248981212514,0.45063591418648,65.49333333333334,0.8003332639178042,3,source_F,A,0,1,0.0
0.0,0.0,87.45333333333333,0.1890326250501066,False,True,cifar10,48.577903910054125,0.18888415366333222,86.29333333333334,0.33545988334424476,3,source_F,C,0,1,1.200000000000001
0.0,0.0,86.68,0.32741411087490196,True,True,cifar10,36.265651292553976,1.4033349280227851,64.42666666666668,2.49233491596401,3,target_E,S,0,1,0.0
-0.02666666666666743,0.08326663997864236,86.70666666666666,0.40265783654777376,False,True,cifar10,46.49833441307392,7.434068327662654,82.6,13.202969362988009,3,target_E,I,3,3,2.400000000000002
0.0,0.0,86.68,0.32741411087490196,True,True,cifar10,36.265651292553976,1.4033349280227851,64.42666666666668,2.49233491596401,3,target_E,A,0,1,0.0
-0.02666666666666743,0.1803699901129123,86.70666666666666,0.47384948383778197,False,True,cifar10,48.69802344778583,0.6185809965166282,86.50666666666667,1.0986051762727733,3,target_E,C,0,1,0.8000000000000007
-0.05333333333333116,0.023094010767588897,56.17333333333333,0.440605643782888,True,False,cifar100_strict,9.606592685278255,0.3516953798983027,17.0,0.6157921727336252,3,source_F,S,0,1,0.0
-0.14666666666666534,0.09237604307034276,56.26666666666667,0.46360903068569626,True,False,cifar100_strict,11.685494041147882,1.6094023375312831,20.64,2.8179425118337678,3,source_F,I,0,3,0.0
-0.05333333333333116,0.023094010767588897,56.17333333333333,0.440605643782888,True,False,cifar100_strict,9.606592685278255,0.3516953798983027,17.0,0.6157921727336252,3,source_F,A,0,1,0.0
-0.5333333333333339,0.22030282189144165,56.653333333333336,0.48055523442507186,False,True,cifar100_strict,57.010112613074604,0.0,100.0,0.0,3,source_F,C,0,1,24.0
0.0,0.0,56.69333333333334,0.7159143337951405,False,False,cifar100_strict,9.697972964657149,0.1582752866940706,17.159999999999997,0.27712812921102026,3,target_E,S,0,1,4.0000000000000036
-0.20000000000000018,0.17435595774162685,56.89333333333333,0.5430776494511056,False,False,cifar100_strict,14.88380381940884,2.939921733253607,26.240000000000002,5.147581956608365,3,target_E,I,3,3,4.0000000000000036
0.0,0.0,56.69333333333334,0.7159143337951405,False,False,cifar100_strict,9.697972964657149,0.1582752866940706,17.159999999999997,0.27712812921102026,3,target_E,A,0,1,4.0000000000000036
-0.8666666666666711,1.160229862283045,57.56000000000001,1.3511476603243615,False,True,cifar100_strict,57.00249758979303,0.013189607224500542,99.98666666666666,0.02309401076758249,3,target_E,C,0,1,16.000000000000004
-1.0133333333333363,0.12220201853215802,57.13333333333333,0.5220472520120516,True,True,cifar100_relaxed,23.488780127587138,0.13770354215597605,41.30666666666667,0.24110855093366973,3,source_F,S,0,1,4.0000000000000036
-1.1866666666666692,0.15143755588800087,57.30666666666667,0.4006661120351131,True,True,cifar100_relaxed,25.087935016717605,1.2431860773581302,44.10666666666667,2.176725369295203,3,source_F,I,0,3,4.0000000000000036
-1.0133333333333363,0.12220201853215802,57.13333333333333,0.5220472520120516,True,True,cifar100_relaxed,23.488780127587138,0.13770354215597605,41.30666666666667,0.24110855093366973,3,source_F,A,0,1,4.0000000000000036
-0.5333333333333339,0.22030282189144165,56.653333333333336,0.48055523442507186,False,True,cifar100_relaxed,57.010112613074604,0.0,100.0,0.0,3,source_F,C,0,1,24.0
-0.8533333333333356,0.2274496281230957,57.24,0.4326661530556819,False,True,cifar100_relaxed,24.105597013394604,0.42391816204904026,42.38666666666667,0.7422488351848938,3,target_E,S,0,1,7.9999999999999964
-0.679999999999999,0.41569219381652966,57.066666666666656,0.2274496281230973,True,True,cifar100_relaxed,21.790629935796193,1.9440246161807482,38.33333333333333,3.4038409676912544,3,target_E,I,3,3,4.0000000000000036
-0.8533333333333356,0.2274496281230957,57.24,0.4326661530556819,False,True,cifar100_relaxed,24.105597013394604,0.42391816204904026,42.38666666666667,0.7422488351848938,3,target_E,A,0,1,7.9999999999999964
-0.4799999999999989,0.6248199740725374,56.86666666666667,0.10066445913694327,False,True,cifar100_relaxed,57.00249758979303,0.013189607224500542,99.98666666666666,0.02309401076758249,3,target_E,C,0,1,36.0
