device,dataset,batch_size,seeds,rounds_per_seed,positive_speedup_seeds,actual_saving_percent_mean,actual_saving_percent_sample_sd,actual_saving_percent_ci95_low,actual_saving_percent_ci95_high,early_fraction_percent_mean,early_fraction_percent_sample_sd,early_fraction_percent_ci95_low,early_fraction_percent_ci95_high,mac_saving_percent_mean,mac_saving_percent_sample_sd,mac_saving_percent_ci95_low,mac_saving_percent_ci95_high,final_latency_ms_mean,final_latency_ms_sample_sd,final_latency_ms_ci95_low,final_latency_ms_ci95_high,dynamic_latency_ms_mean,dynamic_latency_ms_sample_sd,dynamic_latency_ms_ci95_low,dynamic_latency_ms_ci95_high,exit8_latency_ms_mean,exit8_latency_ms_sample_sd,exit8_latency_ms_ci95_low,exit8_latency_ms_ci95_high,forced_fallback_latency_ms_mean,forced_fallback_latency_ms_sample_sd,forced_fallback_latency_ms_ci95_low,forced_fallback_latency_ms_ci95_high,forced_fallback_overhead_percent_mean,forced_fallback_overhead_percent_sample_sd,forced_fallback_overhead_percent_ci95_low,forced_fallback_overhead_percent_ci95_high,isolated_expected_saving_percent_mean,isolated_expected_saving_percent_sample_sd,isolated_expected_saving_percent_ci95_low,isolated_expected_saving_percent_ci95_high
cpu,cifar10,1,3,5,3,26.557123455268513,1.9463700675108964,21.722072169602576,31.39217474093445,57.946666666666665,1.0159396307524027,55.422932717084194,60.47040061624914,32.61702033395331,0.5720353069185986,31.196005855601758,34.03803481230487,9.101128137133333,0.2394254233019235,8.50636241396461,9.695893860302057,6.6764716026,0.16292394555170103,6.271746085312878,7.081197119887123,4.3755736932666665,0.12306383966840069,4.069866168197384,4.681281218335949,9.522534033866666,0.2562625251704957,8.885942630990158,10.159125436743174,4.723410740354494,0.5800101734938414,3.282585595197445,6.164235885511542,28.106015896543465,0.9167484548437436,25.828686487705497,30.383345305381432
cpu,cifar10,4,3,5,3,7.579736806852639,0.3880735340790375,6.615708705926622,8.543764907778657,58.42333333333334,0.5016057548845795,57.177275561209,59.66939110545768,32.8854124260726,0.2824343034389142,32.18380672181675,33.587018130328445,16.026671013,0.2255702914812127,15.46632334528795,16.587018680712053,14.808972026000001,0.23559360425749784,14.22372506902402,15.394218982975982,7.757893363,0.03676723585212422,7.666558485864051,7.8492282401359486,16.454582949000002,0.11505475871592326,16.168771083960984,16.74039481403902,2.724268692259774,2.0727768718386703,-2.424794503054739,7.873331887574286,,,,
cpu,cifar10,8,3,5,3,1.636538251662864,0.8169382235109633,-0.39284879750589163,3.6659253008316197,58.49583333333333,0.5157175422005084,57.21471993815773,59.77694672850893,32.926234300223605,0.29038009110589363,32.204890165174895,33.647578435272315,17.423289524466668,0.11944564846649079,17.12657008461026,17.720008964323075,17.135476720133333,0.057101835222479816,16.993627897848775,17.27732554241789,8.496913195666666,0.10946743777223483,8.224981005291346,8.768845386041987,18.034316446933335,0.018392326191862512,17.988627375833882,18.080005518032788,3.529290154720115,0.6167410805479313,1.997220378164337,5.061359931275893,,,,
cpu,cifar10,16,3,5,3,7.784285990919211,1.3044929670283079,4.54374581685127,11.024826164987154,58.45125000000001,0.563433946882865,57.051602484485294,59.850897515514724,32.90113119370546,0.31724730582150595,32.113045197372834,33.689217190038086,20.5403923064,0.39374548392667313,19.56227430095849,21.518510311841514,18.939304125666666,0.372724004262134,18.013406370615982,19.86520188071735,9.3943592344,0.10733330305812981,9.127728528549877,9.660989940250122,21.250447356333336,0.09869181774669461,21.00528329003062,21.495611422636053,3.4852437325624788,1.836421330872236,-1.0766797500634402,8.047167215188399,,,,
cpu,cifar10,32,3,5,3,4.558830129138689,0.5590845315952501,3.16998716016387,5.947673098113507,58.47645833333333,0.5305073240147905,57.15860508340477,59.794311583261894,32.91532500626946,0.2987076305809835,32.17329411636485,33.657355896174074,23.25308728086667,0.12996435305244172,22.930237930269865,23.575936631463474,22.190687770466667,0.007226592168890203,22.17273592033271,22.208639620600625,10.974948102200003,0.15317661286381473,10.594436301631536,11.35545990276847,23.787140557399997,0.09576728134704564,23.549241442256946,24.02503967254305,2.303417294872695,0.37796130055125754,1.3645093746027508,3.24232521514264,,,,
cpu,cifar100,1,3,5,3,10.138103230685829,0.42123095359012463,9.091707533529014,11.184498927842643,26.200000000000003,0.582065288434211,24.754069666317665,27.64593033368234,14.860958749564107,0.33243305421168584,14.03514926297475,15.686768236153464,9.0285751528,0.14678077902067901,8.663951484279158,9.393198821320842,8.112627459133334,0.13533303333859406,7.776441567375533,8.448813350891134,4.274359976733333,0.01629710494429931,4.233875723749348,4.314844229717318,9.389076033733334,0.06042984728931417,9.238959971168494,9.539192096298173,4.097931731873047,1.5476358654178024,0.2533911145789678,7.942472349167126,10.75256037067206,1.6054980290750414,6.7642821705553455,14.740838570788773
cpu,cifar100,4,3,5,0,-5.770462883589327,2.1378372518005277,-11.081145022305893,-0.459780744872762,26.639999999999997,0.23254031908466707,26.06233782386648,27.217662176133516,15.112254517856043,0.132809995780074,14.782336198845448,15.442172836866638,15.818242946466667,0.32290356611571275,15.016106020629898,16.620379872303435,16.718195232733333,0.026800562282217288,16.651618945272787,16.78477152019388,7.7634919126,0.1714944594873619,7.337476058436485,8.189507766763516,16.737517456533336,0.1783296690522995,16.294522000522054,17.180512912544618,5.899453463222532,3.2681065436305405,-2.2189732477275133,14.017880174172577,,,,
cpu,cifar100,8,3,5,0,-3.3015839652828767,0.8179226373543218,-5.3334164340038575,-1.269751496561896,26.669166666666666,0.2507530325506217,26.046261602179626,27.292071731153705,15.128912381284486,0.14321176355986165,14.773154638663572,15.484670123905401,17.20632420726667,0.4034794034659551,16.204025805214783,18.208622609318553,17.771756917599998,0.2775619072691646,17.082254916415863,18.461258918784132,8.381477989333334,0.19633284448189092,7.8937601663067,8.869195812359967,18.21207377473333,0.11247824021263876,17.932662336473264,18.491485212993396,5.885233550704396,2.2376609681754767,0.32657555361682444,11.443891547791967,,,,
cpu,cifar100,16,3,5,2,1.1932035729885777,1.1787901909261176,-1.7350735944960747,4.12148074047323,26.601250000000004,0.2296838860259875,26.030683596948553,27.171816403051455,15.09012335644397,0.13117861046177268,14.764257623224912,15.415989089663027,20.436274282999996,0.15652040399059097,20.04745604479339,20.825092521206603,20.190765532066663,0.18350036138879883,19.734925364226584,20.646605699906743,9.3661692006,0.1110993034210181,9.090183231226076,9.642155169973924,21.126832724666667,0.2301695716956946,20.555059811527055,21.698605637806278,3.38739958702175,1.498430935995458,-0.33490920949178404,7.109708383535285,,,,
cpu,cifar100,32,3,5,0,-1.506585954041711,0.9606704044313217,-3.893023534222425,0.879851626139003,26.638125,0.23474304435914448,26.054990950943594,27.221259049056403,15.111183655207073,0.13406803109867702,14.778140203218861,15.444227107195285,23.08728333806667,0.2855417423646138,22.377958327588626,23.796608348544712,23.427540034133333,0.18605921731758082,22.96534331578171,23.889736752484957,10.839529729933332,0.09307407722255118,10.608320904721296,11.070738555145368,23.899026468200002,0.14792822269523803,23.531552391575115,24.26650054482489,3.5263136683982323,0.6408875776744769,1.9342606677244747,5.11836666907199,,,,
